reduce_128 reduce_1.stats
reduce_256 reduce_2.stats
reduce_512 reduce_3.stats
reduce_1024 reduce_4.stats
reduce_2048 reduce_5.stats
reduce_4096 reduce_6.stats
reduce_8192 reduce_7.stats
mm22_128 mm22_1.stats
mm22_256 mm22_2.stats
mm22_512 mm22_3.stats
mm22_1024 mm22_4.stats
mm22_2048 mm22_5.stats
bicg1_128 bicg1_1.stats
bicg1_256 bicg1_2.stats
bicg1_512 bicg1_3.stats
bicg1_1024 bicg1_4.stats
bicg1_2048 bicg1_5.stats
bicg1_4096 bicg1_6.stats
std_128 std_1.stats
std_256 std_2.stats
std_512 std_3.stats
std_1024 std_4.stats
std_2048 std_5.stats
std_4096 std_6.stats
std_8192 std_7.stats
atax2_128 atax2_1.stats
atax2_256 atax2_2.stats
atax2_512 atax2_3.stats
atax2_1024 atax2_4.stats
atax2_2048 atax2_5.stats
atax2_4096 atax2_6.stats
atax2_8192 atax2_7.stats
gemm_128 gemm_1.stats
gemm_256 gemm_2.stats
gemm_512 gemm_3.stats
gemm_1024 gemm_4.stats
gemm_2048 gemm_5.stats
gemm_4096 gemm_6.stats
gemm_8192 gemm_7.stats
gesummv_128 gesummv_1.stats
gesummv_256 gesummv_2.stats
gesummv_512 gesummv_3.stats
gesummv_1024 gesummv_4.stats
gesummv_2048 gesummv_5.stats
gesummv_4096 gesummv_6.stats
gesummv_8192 gesummv_7.stats
corr_128 corr_1.stats
corr_256 corr_2.stats
corr_512 corr_3.stats
corr_1024 corr_4.stats
covar_128 covar_1.stats
covar_256 covar_2.stats
covar_512 covar_3.stats
covar_1024 covar_4.stats
2DConvul_128 2DConvul_1.stats
2DConvul_256 2DConvul_2.stats
2DConvul_512 2DConvul_3.stats
2DConvul_1024 2DConvul_4.stats
2DConvul_2048 2DConvul_5.stats
2DConvul_4096 2DConvul_6.stats
2DConvul_8192 2DConvul_7.stats
atax1_128 atax1_1.stats
atax1_256 atax1_2.stats
atax1_512 atax1_3.stats
atax1_1024 atax1_4.stats
atax1_2048 atax1_5.stats
atax1_4096 atax1_6.stats
vecadd_128 vecadd_1.stats
vecadd_256 vecadd_2.stats
vecadd_512 vecadd_3.stats
vecadd_1024 vecadd_4.stats
vecadd_2048 vecadd_5.stats
vecadd_4096 vecadd_6.stats
vecadd_8192 vecadd_7.stats
mean_128 mean_1.stats
mean_256 mean_2.stats
mean_512 mean_3.stats
mean_1024 mean_4.stats
mean_2048 mean_5.stats
mean_4096 mean_6.stats
mean_8192 mean_7.stats
bicg2_128 bicg2_1.stats
bicg2_256 bicg2_2.stats
bicg2_512 bicg2_3.stats
bicg2_1024 bicg2_4.stats
bicg2_2048 bicg2_5.stats
bicg2_4096 bicg2_6.stats
bicg2_8192 bicg2_7.stats
mm21_128 mm21_1.stats
mm21_256 mm21_2.stats
mm21_512 mm21_3.stats
mm21_1024 mm21_4.stats
mm21_2048 mm21_5.stats
MatVecMulUncoalesced0_128 MatVecMulUncoalesced0_1.stats
MatVecMulUncoalesced0_256 MatVecMulUncoalesced0_2.stats
MatVecMulUncoalesced0_512 MatVecMulUncoalesced0_3.stats
MatVecMulUncoalesced0_1024 MatVecMulUncoalesced0_4.stats
MatVecMulUncoalesced0_2048 MatVecMulUncoalesced0_5.stats
MatVecMulUncoalesced0_4096 MatVecMulUncoalesced0_6.stats
MatVecMulUncoalesced0_8192 MatVecMulUncoalesced0_7.stats
sgemm_128 sgemm_1.stats
sgemm_256 sgemm_2.stats
sgemm_512 sgemm_3.stats
sgemm_1024 sgemm_4.stats
sgemm_2048 sgemm_5.stats
DotProduct_128 DotProduct_1.stats
DotProduct_256 DotProduct_2.stats
DotProduct_512 DotProduct_3.stats
DotProduct_1024 DotProduct_4.stats
DotProduct_2048 DotProduct_5.stats
DotProduct_4096 DotProduct_6.stats
DotProduct_8192 DotProduct_7.stats
VectorAdd_128 VectorAdd_1.stats
VectorAdd_256 VectorAdd_2.stats
VectorAdd_512 VectorAdd_3.stats
VectorAdd_1024 VectorAdd_4.stats
VectorAdd_2048 VectorAdd_5.stats
VectorAdd_4096 VectorAdd_6.stats
VectorAdd_8192 VectorAdd_7.stats
transpose_naive_128 transpose_naive_1.stats
transpose_naive_256 transpose_naive_2.stats
transpose_naive_512 transpose_naive_3.stats
transpose_naive_1024 transpose_naive_4.stats
transpose_naive_2048 transpose_naive_5.stats
transpose_naive_4096 transpose_naive_6.stats
transpose_naive_8192 transpose_naive_7.stats
uncoalesced_copy_128 uncoalesced_copy_1.stats
uncoalesced_copy_256 uncoalesced_copy_2.stats
uncoalesced_copy_512 uncoalesced_copy_3.stats
uncoalesced_copy_1024 uncoalesced_copy_4.stats
uncoalesced_copy_2048 uncoalesced_copy_5.stats
uncoalesced_copy_4096 uncoalesced_copy_6.stats
uncoalesced_copy_8192 uncoalesced_copy_7.stats
reduce3_256 reduce3_1.stats
reduce3_512 reduce3_2.stats
reduce3_1024 reduce3_3.stats
reduce3_2048 reduce3_4.stats
reduce3_4096 reduce3_5.stats
reduce3_8192 reduce3_6.stats
MatVecMulCoalesced2_256 MatVecMulCoalesced2_1.stats
MatVecMulCoalesced2_512 MatVecMulCoalesced2_2.stats
MatVecMulCoalesced2_1024 MatVecMulCoalesced2_3.stats
MatVecMulCoalesced2_2048 MatVecMulCoalesced2_4.stats
MatVecMulCoalesced2_4096 MatVecMulCoalesced2_5.stats
MatVecMulCoalesced2_8192 MatVecMulCoalesced2_6.stats
reduce5_256 reduce5_1.stats
reduce5_512 reduce5_2.stats
reduce5_1024 reduce5_3.stats
reduce5_2048 reduce5_4.stats
reduce5_4096 reduce5_5.stats
reduce5_8192 reduce5_6.stats
reduce2_256 reduce2_1.stats
reduce2_512 reduce2_2.stats
reduce2_1024 reduce2_3.stats
reduce2_2048 reduce2_4.stats
reduce2_4096 reduce2_5.stats
reduce2_8192 reduce2_6.stats
shared_copy_256 shared_copy_1.stats
shared_copy_512 shared_copy_2.stats
shared_copy_1024 shared_copy_3.stats
shared_copy_2048 shared_copy_4.stats
shared_copy_4096 shared_copy_5.stats
shared_copy_8192 shared_copy_6.stats
reduce4_256 reduce4_1.stats
reduce4_512 reduce4_2.stats
reduce4_1024 reduce4_3.stats
reduce4_2048 reduce4_4.stats
reduce4_4096 reduce4_5.stats
reduce4_8192 reduce4_6.stats
reduce0_256 reduce0_1.stats
reduce0_512 reduce0_2.stats
reduce0_1024 reduce0_3.stats
reduce0_2048 reduce0_4.stats
reduce0_4096 reduce0_5.stats
reduce0_8192 reduce0_6.stats
reduce6_256 reduce6_1.stats
reduce6_512 reduce6_2.stats
reduce6_1024 reduce6_3.stats
reduce6_2048 reduce6_4.stats
reduce6_4096 reduce6_5.stats
reduce6_8192 reduce6_6.stats
reduce1_256 reduce1_1.stats
reduce1_512 reduce1_2.stats
reduce1_1024 reduce1_3.stats
reduce1_2048 reduce1_4.stats
reduce1_4096 reduce1_5.stats
reduce1_8192 reduce1_6.stats
MatVecMulCoalesced0_256 MatVecMulCoalesced0_1.stats
MatVecMulCoalesced0_512 MatVecMulCoalesced0_2.stats
MatVecMulCoalesced0_1024 MatVecMulCoalesced0_3.stats
MatVecMulCoalesced0_2048 MatVecMulCoalesced0_4.stats
MatVecMulCoalesced0_4096 MatVecMulCoalesced0_5.stats
MatVecMulCoalesced0_8192 MatVecMulCoalesced0_6.stats
MatVecMulCoalesced1_256 MatVecMulCoalesced1_1.stats
MatVecMulCoalesced1_512 MatVecMulCoalesced1_2.stats
MatVecMulCoalesced1_1024 MatVecMulCoalesced1_3.stats
MatVecMulCoalesced1_2048 MatVecMulCoalesced1_4.stats
MatVecMulCoalesced1_4096 MatVecMulCoalesced1_5.stats
MatVecMulCoalesced1_8192 MatVecMulCoalesced1_6.stats
